number,name,theme,subtheme,rating
60150,Pizza Van,City,Traffic,4.5
60151,Dragster Transporter,City,Traffic,4.0
60152,Sweeper & Excavator,City,Construction,
60153,People Pack - Fun at the Beach,City,General,
60154,Bus Station,City,Traffic,
60155,City Advent Calendar,City,Seasonal,
60156,Jungle Buggy,City,Jungle,
60157,Jungle Starter Set,City,Jungle,
60158,Jungle Cargo Helicopter ,City,Jungle,
60159,Jungle Halftrack Mission,City,Jungle,
60160,Jungle Mobile Lab,City,Jungle,
60161,Jungle Exploration Site,City,Jungle,
60162,Jungle Air Drop Helicopter,City,Jungle,
60163,Coast Guard Starter Set,City,Coast Guard,
60164,Sea Rescue Plane,City,Coast Guard,
60165,4 x 4 Response Unit ,City,Coast Guard,
60166,Heavy-Duty Rescue Helicopter,City,Coast Guard,
60167,Coast Guard Head Quarters,City,Coast Guard,
60168,Sailboat Rescue,City,Coast Guard,
60169,Cargo Terminal,City,,
66546,The LEGO Batman Movie Super Pack 2-in-1,The LEGO Batman Movie,Product Collection,
70347,King's Guard Artillery,Nexo Knights,Season 3,
70348,Lance's Twin Jouster,Nexo Knights,Season 3,5.0
70349,Ruina's Lock & Roller,Nexo Knights,Season 3,4.3
70350,The Three Brothers,Nexo Knights,Season 3,
70351,Clay's Falcon Fighter Blaster,Nexo Knights,Season 3,
70352,Jestro's Headquarters,Nexo Knights,Season 3,
70353,The Heligoyle,Nexo Knights,Season 4,
70354,Axl's Rumble Maker,Nexo Knights,Season 4,
70355,Aaron's Rock Climber,Nexo Knights,Season 4,
70356,The Stone Colossus of Ultimate Destruction,Nexo Knights,Season 4,
70357,Knighton Castle,Nexo Knights,Season 4,
70358,Aaron's Stone Destroyer,Nexo Knights,Season 3,
70359,Lance vs. Lightning,Nexo Knights,Season 3,
70361,Macy's Bot Drop Dragon,Nexo Knights,Season 4,
70362,Battle Suit Clay,Nexo Knights,Battle Suits,
70363,Battle Suit Macy,Nexo Knights,Battle Suits,
70364,Battle Suit Aaron,Nexo Knights,Battle Suits,5.0
70365,Battle Suit Axl,Nexo Knights,Battle Suits,
70366,Battle Suit Lance,Nexo Knights,Battle Suits,
70372,Combo NEXO Powers Wave 1,Nexo Knights,Combo NEXO Powers,4.0
70373,Combo NEXO Powers Wave 2,Nexo Knights,Combo NEXO Powers,
70606,Spinjitzu Training,The LEGO Ninjago Movie,,
70607,Ninjago City Chase,The LEGO Ninjago Movie,,
70608,Master Falls,The LEGO Ninjago Movie,,
70609,Manta Ray Bomber,The LEGO Ninjago Movie,,
70610,{?},The LEGO Ninjago Movie,,
70611,Water Strider,The LEGO Ninjago Movie,,
70612,Green Ninja Mech Dragon,The LEGO Ninjago Movie,,
70613,{Garmadon's Shark Mech},The LEGO Ninjago Movie,,
70614,Lightning Jet,The LEGO Ninjago Movie,,
70615,Fire Mech,The LEGO Ninjago Movie,,
70616,{Zane Tank},The LEGO Ninjago Movie,,
70617,Temple of The Ultimate,The LEGO Ninjago Movie,,
70618,Destiny's Bounty,The LEGO Ninjago Movie,,
70620,{D2C Ninjago City},The LEGO Ninjago Movie,,
70621,The Vermillion Attack,Ninjago,The Hands of Time,
70622,Desert Lightning,Ninjago,The Hands of Time,4.0
70623,Destiny's Shadow,Ninjago,The Hands of Time,5.0
70624,Vermillion Invader,Ninjago,The Hands of Time,4.0
70625,Samurai VXL,Ninjago,The Hands of Time,
70626,Dawn of Iron Doom,Ninjago,The Hands of Time,5.0
70627,Dragon's Forge,Ninjago,The Hands of Time,
70900,The Joker Balloon Escape,The LEGO Batman Movie,,4.0
70901,Mr. Freeze Ice Attack,The LEGO Batman Movie,,4.7
70902,Catwoman Catcycle Chase,The LEGO Batman Movie,,4.5
70903,The Riddler Riddle Racer,The LEGO Batman Movie,,5.0
70904,Clayface Splat Attack,The LEGO Batman Movie,,4.5
70905,The Batmobile,The LEGO Batman Movie,,5.0
70906,The Joker Notorious Lowrider,The LEGO Batman Movie,,5.0
70907,Killer Croc Tail-Gator,The LEGO Batman Movie,,
