number,name,image,theme,subtheme,rating,pieces,minifigs,us_price,eu_price,owner,want_it
41568,Lewt,https://images.brickset.com/sets/small/41568-1.jpg,Mixels,Series 8,,62,,4.99,3.99,1480,389
41569,Surgeo,https://images.brickset.com/sets/small/41569-1.jpg,Mixels,Series 8,,63,,4.99,3.99,1407,338
41570,Skrubz,https://images.brickset.com/sets/small/41570-1.jpg,Mixels,Series 8,3.0,68,,4.99,3.99,1396,321
41571,Tuth,https://images.brickset.com/sets/small/41571-1.jpg,Mixels,Series 8,,67,,4.99,3.99,1511,354
41572,Gobbol,https://images.brickset.com/sets/small/41572-1.jpg,Mixels,Series 9,,62,,4.99,3.99,1099,316
41573,Sweepz,https://images.brickset.com/sets/small/41573-1.jpg,Mixels,Series 9,,61,,4.99,3.99,1157,334
41574,Compax,https://images.brickset.com/sets/small/41574-1.jpg,Mixels,Series 9,,66,,4.99,3.99,1048,288
41575,Cobrax,https://images.brickset.com/sets/small/41575-1.jpg,Mixels,Series 9,,64,,4.99,3.99,1015,300
41576,Spinza,https://images.brickset.com/sets/small/41576-1.jpg,Mixels,Series 9,,60,,4.99,3.99,925,290
41577,Mysto,https://images.brickset.com/sets/small/41577-1.jpg,Mixels,Series 9,,64,,4.99,3.99,1001,330
41578,Screeno,https://images.brickset.com/sets/small/41578-1.jpg,Mixels,Series 9,,73,,4.99,3.99,982,310
41579,Camsta,https://images.brickset.com/sets/small/41579-1.jpg,Mixels,Series 9,,62,,4.99,3.99,938,286
41580,Myke,https://images.brickset.com/sets/small/41580-1.jpg,Mixels,Series 9,,63,,4.99,3.99,935,294
42044,Display Team Jet,https://images.brickset.com/sets/small/42044-1.jpg,Technic,,4.5,113,,12.99,9.99,1481,269
42045,Hydroplane Racer,https://images.brickset.com/sets/small/42045-1.jpg,Technic,,4.0,180,,19.99,14.99,961,327
42046,Getaway Racer,https://images.brickset.com/sets/small/42046-1.jpg,Technic,,5.0,170,,19.99,19.99,1642,499
42047,Police Interceptor,https://images.brickset.com/sets/small/42047-1.jpg,Technic,,5.0,185,,19.99,19.99,1454,371
42048,Race Kart,https://images.brickset.com/sets/small/42048-1.jpg,Technic,,4.7,345,,29.99,26.99,1446,532
42049,Mine Loader,https://images.brickset.com/sets/small/42049-1.jpg,Technic,,,476,,49.99,39.99,1229,529
42050,Drag Racer,https://images.brickset.com/sets/small/42050-1.jpg,Technic,,,647,,79.99,59.99,1151,614
42051,Airport Rescue Vehicle,,Technic,,,,,,,,
42052,Heavy Lift Helicopter,https://images.brickset.com/sets/small/42052-1.jpg,Technic,,5.0,1042,,139.99,119.99,1873,1179
42053,Volvo EW160E,https://images.brickset.com/sets/small/42053-1.jpg,Technic,,4.3,1166,,119.99,89.99,1891,1517
42054,CLAAS XERION 5000 TRAC VC,https://images.brickset.com/sets/small/42054-1.jpg,Technic,,4.8,1977,,179.99,149.99,2342,1651
42055,Bucket Wheel Excavator,https://images.brickset.com/sets/small/42055-1.jpg,Technic,,4.5,3929,,279.99,229.99,2528,2029
42056,Porsche 911 GT3 RS,https://images.brickset.com/sets/small/42056-1.jpg,Technic,,4.5,2704,,299.99,299.99,3645,2393
45012,Wild Animals Set,https://images.brickset.com/sets/small/45012-1.jpg,Education,Duplo,,104,,,,15,87
45014,StoryTales Set,https://images.brickset.com/sets/small/45014-1.jpg,Education,Duplo,,,,,,2,7
45016,Tubes Experiment Set,https://images.brickset.com/sets/small/45016-1.jpg,Education,Duplo,,,4,,,6,21
45017,Playground Set,https://images.brickset.com/sets/small/45017-1.jpg,Education,Duplo,,,,,,2,10
45018,Build Me 'Emotions',https://images.brickset.com/sets/small/45018-1.jpg,Education,Duplo,,188,,,,4,16
45020,Creative LEGO Brick Set,,Education,,,,,,,6,9
45022,Community minifigure set,https://images.brickset.com/sets/small/45022-1.jpg,Education,System,,,21,,,22,221
45023,Fantasy minifigure set,https://images.brickset.com/sets/small/45023-1.jpg,Education,System,,,21,,,15,168
45300,WeDo 2.0 Core Set,https://images.brickset.com/sets/small/45300-1.jpg,Education,,,280,,,,53,90
45301,WeDo 2.0 Smart Hub,https://images.brickset.com/sets/small/45301-1.jpg,Education,,,,,,,5,42
45302,WeDo 2.0 Smarthub Rechargeable Battery,https://images.brickset.com/sets/small/45302-1.jpg,Education,,,,,,,5,40
45303,WeDo 2.0 Medium Motor,https://images.brickset.com/sets/small/45303-1.jpg,Education,,,,,,,10,35
45304,WeDo 2.0 Motion Sensor,https://images.brickset.com/sets/small/45304-1.jpg,Education,,,,,,,6,38
45305,WeDo 2.0 Tilt Sensor,https://images.brickset.com/sets/small/45305-1.jpg,Education,,,,,,,5,38
45802,Animal Allies,https://images.brickset.com/sets/small/45802-1.jpg,Miscellaneous,FIRST LEGO League,,2161,2,,,9,56
45803,Creature Craze Inspire Set,https://images.brickset.com/sets/small/45803-1.jpg,Miscellaneous,FIRST LEGO League,,,,,,3,27
60100,Airport Starter Set,https://images.brickset.com/sets/small/60100-1.jpg,City,Airport,3.5,81,4,9.99,9.99,1974,667
60101,Airport Cargo Plane,https://images.brickset.com/sets/small/60101-1.jpg,City,Airport,3.0,157,2,24.99,19.99,1893,991
60102,Airport VIP Service,https://images.brickset.com/sets/small/60102-1.jpg,City,Airport,3.0,364,4,49.99,49.99,1716,1387
60103,Airport Air Show,https://images.brickset.com/sets/small/60103-1.jpg,City,Airport,5.0,670,6,89.99,79.99,1285,1393
60104,Airport Passenger Terminal,https://images.brickset.com/sets/small/60104-1.jpg,City,Airport,2.0,694,6,99.99,99.99,1217,1485
60105,Fire ATV,https://images.brickset.com/sets/small/60105-1.jpg,City,Fire,4.0,64,1,6.99,5.99,1768,380
60106,Fire Starter Set,https://images.brickset.com/sets/small/60106-1.jpg,City,Fire,4.3,90,4,9.99,9.99,2391,463
60107,Fire Ladder Truck,https://images.brickset.com/sets/small/60107-1.jpg,City,Fire,4.3,214,2,24.99,19.99,2688,820
60108,Fire Response Unit,https://images.brickset.com/sets/small/60108-1.jpg,City,Fire,4.5,257,3,39.99,29.99,1331,665
60109,Fire Boat,https://images.brickset.com/sets/small/60109-1.jpg,City,Fire,,412,5,79.99,69.99,869,848
60110,Fire Station,https://images.brickset.com/sets/small/60110-1.jpg,City,Fire,4.0,919,6,99.99,99.99,1619,1092
60111,Fire Utility Truck,https://images.brickset.com/sets/small/60111-1.jpg,City,Fire,5.0,368,3,39.99,24.49,1085,934
60112,Fire Engine,https://images.brickset.com/sets/small/60112-1.jpg,City,Fire,4.5,376,3,49.99,39.99,898,1191
60113,Rally Car,https://images.brickset.com/sets/small/60113-1.jpg,City,Traffic,4.0,104,1,9.99,9.99,3570,750
60114,Race Boat,https://images.brickset.com/sets/small/60114-1.jpg,City,Harbour,4.0,95,1,9.99,9.99,1886,626
60115,4 x 4 Off Roader,https://images.brickset.com/sets/small/60115-1.jpg,City,Traffic,5.0,176,2,19.99,19.99,2590,853
60116,Ambulance Plane,https://images.brickset.com/sets/small/60116-1.jpg,City,Medical,4.4,183,3,19.99,19.99,2363,854
60117,Van & Caravan,https://images.brickset.com/sets/small/60117-1.jpg,City,Traffic,4.9,250,2,19.99,19.99,5333,1297
60118,Garbage Truck,https://images.brickset.com/sets/small/60118-1.jpg,City,Traffic,4.8,248,2,19.99,19.99,4493,1414
60119,Ferry,https://images.brickset.com/sets/small/60119-1.jpg,City,Harbour,4.6,301,2,29.99,29.99,2842,1266
60120,Volcano Starter Set,https://images.brickset.com/sets/small/60120-1.jpg,City,Volcano Explorers,4.0,83,4,9.99,9.99,2170,748
60121,Volcano Exploration Truck,https://images.brickset.com/sets/small/60121-1.jpg,City,Volcano Explorers,4.0,175,2,24.99,19.99,1711,849
60122,Volcano Crawler,https://images.brickset.com/sets/small/60122-1.jpg,City,Volcano Explorers,4.0,324,3,39.99,29.99,1415,818
60123,Volcano Supply Helicopter,https://images.brickset.com/sets/small/60123-1.jpg,City,Volcano Explorers,4.0,330,3,49.99,49.99,903,835
60124,Volcano Exploration Base,https://images.brickset.com/sets/small/60124-1.jpg,City,Volcano Explorers,4.0,824,6,119.99,99.99,1005,1077
60125,Volcano Heavy-Lift Helicopter,https://images.brickset.com/sets/small/60125-1.jpg,City,Volcano Explorers,5.0,1277,8,149.99,129.99,473,973
