number,name,image,theme,subtheme,year,rating,pieces,minifigs,us_price,eu_price,owner,want_it
,Become a Star,https://images.brickset.com/sets/small/FR561509-1.jpg,Friends,Magazine gift,2015,,,,,,187,153
,Halloween Door,https://images.brickset.com/sets/small/FR561510-1.jpg,Friends,Magazine gift,2015,,,,,,207,175
,Hedgehog,https://images.brickset.com/sets/small/FR561511-1.jpg,Friends,Magazine gift,2015,,,,,,176,147
,Winter Fun,https://images.brickset.com/sets/small/FR561512-1.jpg,Friends,Magazine gift,2015,,,,,,169,141
,Exclusive Gali Mask,https://images.brickset.com/sets/small/GALIMASK-1.jpg,Bionicle,Exclusive Masks,2015,,1,,,,26,202
,San Francisco Giants Baseball Player,https://images.brickset.com/sets/small/GIANTS-1.jpg,Promotional,Miscellaneous,2015,,,,,,18,60
,Great LEGO Sets: A Visual History,https://images.brickset.com/sets/small/ISBN0241011639-1.jpg,Books,Dorling Kindersley,2015,,102,,,,742,206
,LEGO Awesome Ideas,https://images.brickset.com/sets/small/ISBN0241182980-1.jpg,Books,Dorling Kindersley,2015,,,,24.99,,483,182
,LEGO Friends: Build Your Own Adventure,https://images.brickset.com/sets/small/ISBN0241187559-1.jpg,Books,Dorling Kindersley,2015,,77,,,,95,49
,LEGO Ninjago: Build Your Own Adventure,https://images.brickset.com/sets/small/ISBN0241187567-1.jpg,Books,Dorling Kindersley,2015,,74,,,,182,85
,LEGO Star Wars Character Encyclopedia: Updated and Expanded,https://images.brickset.com/sets/small/ISBN0241195810-1.jpg,Books,Dorling Kindersley,2015,4.0,5,1,18.99,,2316,405
,LEGO Friends: The Adventure Guide,https://images.brickset.com/sets/small/ISBN0241196574-1.jpg,Books,Dorling Kindersley,2015,,6,,16.99,,68,63
,I Love That Minifigure!,https://images.brickset.com/sets/small/ISBN0241196892-1.jpg,Books,Dorling Kindersley,2015,3.7,5,1,,,963,179
,LEGO Chain Reactions,https://images.brickset.com/sets/small/ISBN0545703301-1.jpg,Books,Klutz,2015,,,,,,209,70
,LEGO Ninjago: Secret World of the Ninja,https://images.brickset.com/sets/small/ISBN1409352625-1.jpg,Books,Dorling Kindersley,2015,,10,1,16.99,,262,119
,LEGO Architecture: The Visual Guide,https://images.brickset.com/sets/small/ISBN1409355721-1.jpg,Books,Dorling Kindersley,2015,,,,,,418,198
,"Brick Vehicles: Amazing Air, Land, and Sea Machines to Build from LEGO (US edition)",https://images.brickset.com/sets/small/ISBN143800530X-1.jpg,Books,Barron's Educational Series,2015,,,,,,64,112
,The Ultimate Guide to Collectible LEGO Sets,https://images.brickset.com/sets/small/ISBN1440244820-1.jpg,Books,Krause Publications,2015,,,,,,100,148
,Star Wars in 100 Scenes,https://images.brickset.com/sets/small/ISBN1465434372-1.jpg,Books,Dorling Kindersley,2015,,,,18.99,,278,132
,LEGO Star Wars: Small Scenes from a Big Galaxy,https://images.brickset.com/sets/small/ISBN1465440097-1.jpg,Books,Dorling Kindersley,2015,,,,,,235,166
,The 2014 LEGO Minifigure Catalog: 1st Edition,https://images.brickset.com/sets/small/ISBN1511664487-1.jpg,Books,CreateSpace/Bartneck,2015,,,,,,9,70
,The Star Wars LEGO Minifigure Catalog: 4th Edition,https://images.brickset.com/sets/small/ISBN1511759011-1.jpg,Books,CreateSpace/Bartneck,2015,,,,,,17,81
,"The LEGO Adventure Book, Vol. 3: Robots, Planes, Cities & More!",https://images.brickset.com/sets/small/ISBN1593276109-1.jpg,Books,No Starch Press,2015,,,,,,118,168
,The LEGO Architect,https://images.brickset.com/sets/small/ISBN1593276133-1.jpg,Books,No Starch Press,2015,,,,,,223,169
,The Art of LEGO Scale Modeling,https://images.brickset.com/sets/small/ISBN159327615X-1.jpg,Books,No Starch Press,2015,,,,,,70,127
,Medieval LEGO,https://images.brickset.com/sets/small/ISBN1593276508-1.jpg,Books,No Starch Press,2015,,,,,,63,116
,Beautiful LEGO 3: Wild!,https://images.brickset.com/sets/small/ISBN1593276753-1.jpg,Books,No Starch Press,2015,,,,,,101,142
,"The LEGO Power Functions Idea Book, Vol. 1: Machines and Mechanisms",https://images.brickset.com/sets/small/ISBN1593276885-1.jpg,Books,No Starch Press,2015,,,,,,62,78
,"The LEGO Power Functions Idea Book, Vol. 2: Cars and Contraptions",https://images.brickset.com/sets/small/ISBN1593276893-1.jpg,Books,No Starch Press,2015,,,,,,38,73
,Bricksy: Unauthorized Underground Brick Street Art,https://images.brickset.com/sets/small/ISBN1634504798-1.jpg,Books,Skyhorse Publishing,2015,,,,,,19,101
,"Brick Wheels: Amazing Air, Land and Sea Machines to Build from LEGO",https://images.brickset.com/sets/small/ISBN1784720801-1.jpg,Books,Mitchell Beazley,2015,,,,,,35,83
,Just Brick it: Over 20 Projects for Adult Fans of LEGO,https://images.brickset.com/sets/small/ISBN191055202X-1.jpg,Books,LOM Art,2015,,,,,,27,86
,The Little Box of LEGO Projects,https://images.brickset.com/sets/small/ISBN3868529268-1.jpg,Books,Heel-Verlag,2015,,,,,,33,76
,"LEGO Tips, Tricks and Building Techniques: The Big Unofficial LEGO Builders Book",https://images.brickset.com/sets/small/ISBN3958431348-1.jpg,Books,Heel-Verlag,2015,,,,,,63,118
,Alien Project,https://images.brickset.com/sets/small/ISBN8460822737-1.jpg,Books,Arvo Brothers,2015,,,,,,28,104
,Gorzan,https://images.brickset.com/sets/small/LOC391501-1.jpg,Legends of Chima,Magazine gift,2015,,,1,,,352,84
,Saber-tooth tribe launcher,https://images.brickset.com/sets/small/LOC391502-1.jpg,Legends of Chima,Magazine gift,2015,,,,,,247,73
,Lundor,https://images.brickset.com/sets/small/LOC391503-1.jpg,Legends of Chima,Magazine gift,2015,3.0,,1,,,320,82
,Fire and Ice weapons,https://images.brickset.com/sets/small/LOC391504-1.jpg,Legends of Chima,Magazine gift,2015,,,,,,224,72
,Iceklaw,https://images.brickset.com/sets/small/LOC391505-1.jpg,Legends of Chima,Magazine gift,2015,,,1,,,263,72
,Fire Catapault,https://images.brickset.com/sets/small/LOC391506-1.jpg,Legends of Chima,Magazine gift,2015,,,,,,151,44
,Stealthor,https://images.brickset.com/sets/small/LOC391507-1.jpg,Legends of Chima,Magazine gift,2015,,,1,,,230,61
,Bulkar,https://images.brickset.com/sets/small/LOC391508-1.jpg,Legends of Chima,Magazine gift,2015,,,1,,,223,62
,The Hobbit - The Battle of the Five Armies DVD/Blu-ray with 2 minifigs,https://images.brickset.com/sets/small/LOTRDVDBD3-1.jpg,Gear,Digital media,2015,,,2,,,602,167
,"Lyon, France Exclusive Minifigure Pack",https://images.brickset.com/sets/small/LYON-1.jpg,Promotional,LEGO brand store opening set,2015,,,,,,21,69
,First anniversary minifig set,,Promotional,LEGO brand stores,2015,,,,,,10,39
,Kai,https://images.brickset.com/sets/small/NIN891501-1.jpg,Ninjago,Magazine Gift,2015,,4,1,,,356,157
,Krait,https://images.brickset.com/sets/small/NIN891502-1.jpg,Ninjago,Magazine Gift,2015,,,,,,337,121
,Cole,https://images.brickset.com/sets/small/NIN891503-1.jpg,Ninjago,Magazine Gift,2015,,,1,,,323,140
,Weapons Rack,https://images.brickset.com/sets/small/NIN891504-1.jpg,Ninjago,Magazine Gift,2015,,,,,,220,128
,Jay minifigure,https://images.brickset.com/sets/small/NIN891505-1.jpg,Ninjago,Magazine Gift,2015,,,1,,,309,118
,Ming minifigure,https://images.brickset.com/sets/small/NIN891506-1.jpg,Ninjago,Magazine Gift,2015,4.0,,1,,,323,113
,Zane,https://images.brickset.com/sets/small/NIN891507-1.jpg,Ninjago,Magazine Gift,2015,,,1,,,281,95
,Anacondrai Hideout,https://images.brickset.com/sets/small/NIN891508-1.jpg,Ninjago,Magazine Gift,2015,,,,,,183,71
,All New Captain America (Sam Wilson),https://images.brickset.com/sets/small/SDCC2015-4.jpg,Marvel Super Heroes,Comics,2015,,5,1,,,164,855
,Skull Scorpio Mask,https://images.brickset.com/sets/small/SDCC2015-6.jpg,Bionicle,Exclusive Masks,2015,,1,,,,72,188
,Throne of Ultron,https://images.brickset.com/sets/small/SDCC2015-1.jpg,Marvel Super Heroes,Avengers: Age of Ultron,2015,,203,4,39.99,,198,1283
,Dagobah Mini Build,https://images.brickset.com/sets/small/SDCC2015-2.jpg,Star Wars,Promotional,2015,,177,1,,,208,885
,Action Comics #1 Superman,https://images.brickset.com/sets/small/SDCC2015-3.jpg,DC Comics Super Heroes,Superman,2015,,145,1,,,189,1274
,Arsenal,https://images.brickset.com/sets/small/SDCC2015-5.jpg,DC Comics Super Heroes,Promotional Exclusive Minifigure,2015,,,1,,,165,803
,Scooby-Doo Influencer Kit,,Scooby-Doo,,2015,,1836,,,,12,122
,Snowspeeder,https://images.brickset.com/sets/small/SW911506-1.jpg,Star Wars,Magazine Gift,2015,,,,,,555,293
,Mini Slave I,https://images.brickset.com/sets/small/SW911508-1.jpg,Star Wars,Magazine Gift,2015,,,,,,652,397
,Imperial Shooter,https://images.brickset.com/sets/small/SW911509-1.jpg,Star Wars,Magazine Gift,2015,,,,,,649,254
,Micro Star Destroyer and TIE Fighter,https://images.brickset.com/sets/small/SW911510-1.jpg,Star Wars,Magazine Gift,2015,5.0,,,,,712,314
,Jedi Weapon Stand,https://images.brickset.com/sets/small/SW911511-1.jpg,Star Wars,Magazine Gift,2015,,,,,,552,308
,Mini X-Wing Starfighter,https://images.brickset.com/sets/small/SWCOMIC1-1.jpg,Star Wars,Magazine Gift,2015,3.5,23,,,,807,341
,Jurassic World Gate,https://images.brickset.com/sets/small/TRUJWGATE-1.jpg,Jurassic World,,2015,5.0,62,,,,302,475
,Kayak,https://images.brickset.com/sets/small/TRUKAYAK-1.jpg,City,,2015,,18,,,,228,191
,Micro Shinto Shrine,https://images.brickset.com/sets/small/TRUNINJAGO-1.jpg,Ninjago,Promotional,2015,,18,,,,33,111
,Micro Electromech Robot,https://images.brickset.com/sets/small/TRUNINJAGO-2.jpg,Ninjago,Promotional,2015,,,,,,39,118
,Micro Kai's Fighter Jet,https://images.brickset.com/sets/small/TRUNINJAGO-3.jpg,Ninjago,Promotional,2015,,,,,,36,83
,Micro Morro Dragon,https://images.brickset.com/sets/small/TRUNINJAGO-4.jpg,Ninjago,Promotional,2015,,29,,,,40,137
,Wookiee Gunship,https://images.brickset.com/sets/small/TRUWOOKIEE-1.jpg,Star Wars,Promotional,2015,,41,,,,357,338
,Poe's X-wing Fighter,https://images.brickset.com/sets/small/TRUXWING-2.jpg,Star Wars,Promotional,2015,,27,,,,494,330
,Micro White House,https://images.brickset.com/sets/small/WHITEHOUSE-1.jpg,Promotional,Miscellaneous,2015,,59,,,,17,114
